21.994 3 1.272
21.981 1 1.272
21.969 2 1.272
21.956 0 1.272
21.944 2 1.272
21.931 3 1.272
21.919 1 1.272
21.906 1 1.272
21.894 1 1.272
21.881 2 1.272
21.869 2 1.272
21.856 4 1.272
21.844 1 1.272
21.831 2 1.272
21.819 2 1.272
21.806 2 1.272
21.794 0 1.272
21.781 1 1.272
21.769 0 1.272
21.756 2 1.272
21.744 0 1.272
21.731 1 1.272
21.719 1 1.272
21.706 1 1.272
21.694 1 1.272
21.681 3 1.272
21.669 0 1.272
21.656 1 1.272
21.644 2 1.272
21.631 0 1.273
21.619 0 1.273
21.606 3 1.273
21.594 1 1.273
21.581 1 1.273
21.569 1 1.273
21.556 1 1.273
21.544 3 1.273
21.531 2 1.273
21.519 1 1.273
21.506 0 1.273
21.494 4 1.273
21.481 1 1.273
21.469 5 1.273
21.456 3 1.273
21.444 0 1.273
21.431 0 1.273
21.419 2 1.273
21.406 0 1.273
21.394 0 1.273
21.381 1 1.273
21.369 0 1.273
21.356 0 1.273
21.344 1 1.273
21.331 0 1.273
21.319 3 1.273
21.306 1 1.273
21.294 1 1.273
21.281 0 1.273
21.269 0 1.273
21.256 3 1.273
21.244 1 1.273
21.231 1 1.273
21.219 2 1.273
21.206 2 1.273
21.194 1 1.273
21.181 1 1.273
21.169 2 1.273
21.156 1 1.273
21.144 1 1.273
21.131 1 1.273
21.119 1 1.273
21.106 0 1.273
21.094 0 1.273
21.081 1 1.273
21.069 0 1.273
21.056 0 1.273
21.044 0 1.273
21.031 1 1.273
21.019 2 1.273
21.006 1 1.273
20.994 0 1.273
20.981 1 1.273
20.969 0 1.273
20.956 0 1.273
20.944 6 1.273
20.931 2 1.273
20.919 2 1.273
20.906 2 1.273
20.894 1 1.273
20.881 1 1.273
20.869 4 1.273
20.856 2 1.273
20.844 0 1.273
20.831 2 1.273
20.819 0 1.273
20.806 2 1.274
20.794 0 1.274
20.781 0 1.274
20.769 1 1.274
20.756 1 1.274
20.744 5 1.274
20.731 2 1.274
20.719 0 1.274
20.706 0 1.274
20.694 2 1.274
20.681 1 1.274
20.669 4 1.274
20.656 2 1.274
20.644 1 1.274
20.631 0 1.274
20.619 2 1.274
20.606 3 1.274
20.594 2 1.274
20.581 4 1.274
20.569 2 1.274
20.556 1 1.274
20.544 0 1.274
20.531 2 1.274
20.519 1 1.274
20.506 0 1.274
20.494 1 1.274
20.481 2 1.274
20.469 2 1.274
20.456 1 1.274
20.444 0 1.274
20.431 2 1.274
20.419 1 1.274
20.406 0 1.274
20.394 1 1.274
20.381 0 1.274
20.369 0 1.274
20.356 2 1.274
20.344 1 1.274
20.331 0 1.274
20.319 2 1.274
20.306 2 1.274
20.294 0 1.274
20.281 1 1.274
20.269 0 1.274
20.256 1 1.274
20.244 0 1.274
20.231 0 1.274
20.219 1 1.274
20.206 2 1.274
20.194 1 1.274
20.181 1 1.274
20.169 4 1.274
20.156 2 1.274
20.144 1 1.274
20.131 4 1.274
20.119 2 1.274
20.106 2 1.274
20.094 1 1.274
20.081 1 1.274
20.069 0 1.274
20.056 0 1.274
20.044 1 1.274
20.031 1 1.274
20.019 1 1.274
20.006 0 1.274
19.994 1 1.274
